symbol,entry_date,exit_date,entry,target,stop,exit,pnl_pct,days,result
SOLARINDS,2024-05-22,2024-05-28,9932.59,10528.54,9634.61,9634.61,-3.0,4,STOP
HAL,2024-05-24,2024-05-28,5056.23,5359.6,4904.54,4904.54,-3.0,2,STOP
TITAGARH,2024-05-29,2024-05-30,1396.88,1480.69,1354.97,1354.97,-3.0,1,STOP
CUMMINSIND,2024-05-15,2024-05-31,3589.91,3805.31,3482.22,3482.22,-3.0,11,STOP
LODHA,2024-05-22,2024-05-31,1306.0,1384.35,1266.82,1384.35,6.0,7,TARGET
NHPC,2024-05-31,2024-06-03,102.21,108.34,99.15,108.34,6.0,1,TARGET
MARUTI,2024-03-22,2024-06-04,12091.39,12816.87,11728.65,11728.65,-3.0,46,STOP
HAVELLS,2024-05-31,2024-06-04,1889.39,2002.76,1832.71,1832.71,-3.0,2,STOP
LODHA,2024-05-31,2024-06-04,1371.02,1453.28,1329.89,1329.89,-3.0,2,STOP
JSL,2024-05-31,2024-06-04,787.09,834.31,763.47,763.47,-3.0,2,STOP
HAL,2024-06-03,2024-06-04,5160.94,5470.6,5006.11,5006.11,-3.0,1,STOP
HEROMOTOCO,2024-06-05,2024-06-06,5294.94,5612.64,5136.09,5136.09,-3.0,1,STOP
GODREJCP,2024-06-05,2024-06-06,1386.74,1469.94,1345.14,1345.14,-3.0,1,STOP
NCC,2024-06-06,2024-06-07,307.28,325.72,298.07,325.72,6.0,1,TARGET
IRB,2024-06-07,2024-06-10,38.04,40.32,36.9,36.9,-3.0,1,STOP
MARICO,2024-06-05,2024-06-12,635.75,673.9,616.68,616.68,-3.0,5,STOP
PIDILITIND,2024-06-05,2024-06-13,1564.39,1658.25,1517.46,1517.46,-3.0,6,STOP
KEI,2024-06-10,2024-06-13,4556.01,4829.37,4419.33,4829.37,6.0,3,TARGET
TVSMOTOR,2024-06-05,2024-06-14,2333.93,2473.97,2263.91,2473.97,6.0,7,TARGET
EXIDEIND,2024-06-06,2024-06-18,523.15,554.54,507.46,554.54,6.0,7,TARGET
LICHSGFIN,2024-06-12,2024-06-18,693.75,735.37,672.93,735.37,6.0,3,TARGET
KEI,2024-06-13,2024-06-18,4815.66,5104.6,4671.19,4671.19,-3.0,2,STOP
DIXON,2024-06-13,2024-06-18,10846.99,11497.81,10521.58,11497.81,6.0,2,TARGET
SIEMENS,2024-06-14,2024-06-19,4556.79,4830.2,4420.09,4420.09,-3.0,2,STOP
HAL,2024-06-18,2024-06-19,5415.19,5740.1,5252.73,5252.73,-3.0,1,STOP
JSWENERGY,2024-06-18,2024-06-19,703.92,746.15,682.8,682.8,-3.0,1,STOP
CHAMBLFERT,2024-06-19,2024-06-20,450.79,477.84,437.27,477.84,6.0,1,TARGET
CHAMBLFERT,2024-06-20,2024-06-21,537.74,570.0,521.61,521.61,-3.0,1,STOP
PRESTIGE,2024-06-20,2024-06-24,2009.56,2130.13,1949.27,1949.27,-3.0,2,STOP
TITAGARH,2024-06-21,2024-06-24,1579.96,1674.76,1532.56,1674.76,6.0,1,TARGET
ESCORTS,2024-06-21,2024-06-25,4256.75,4512.15,4129.05,4129.05,-3.0,2,STOP
CGPOWER,2024-06-24,2024-06-27,698.81,740.74,677.85,677.85,-3.0,3,STOP
EXIDEIND,2024-06-25,2024-06-27,574.49,608.96,557.26,557.26,-3.0,2,STOP
HDFCAMC,2024-06-25,2024-06-27,2018.91,2140.05,1958.34,1958.34,-3.0,2,STOP
LICHSGFIN,2024-06-25,2024-07-01,746.55,791.34,724.15,791.34,6.0,4,TARGET
BOSCHLTD,2024-06-27,2024-07-01,34118.51,36165.62,33094.95,33094.95,-3.0,2,STOP
KALYANKJIL,2024-06-28,2024-07-01,498.57,528.48,483.61,483.61,-3.0,1,STOP
MGL,2024-07-01,2024-07-02,1673.57,1773.98,1623.36,1623.36,-3.0,1,STOP
SOLARINDS,2024-07-02,2024-07-03,11004.35,11664.61,10674.22,11664.61,6.0,1,TARGET
MOTHERSON,2024-07-02,2024-07-10,133.47,141.48,129.47,129.47,-3.0,6,STOP
DIXON,2024-07-03,2024-07-10,12638.7,13397.03,12259.54,12259.54,-3.0,5,STOP
OFSS,2024-07-01,2024-07-15,9726.8,10310.41,9435.0,10310.41,6.0,10,TARGET
ETERNAL,2024-07-15,2024-07-16,229.15,242.9,222.28,222.28,-3.0,1,STOP
ULTRACEMCO,2024-06-27,2024-07-19,11574.26,12268.72,11227.03,11227.03,-3.0,15,STOP
GODREJPROP,2024-07-16,2024-07-19,3381.4,3584.28,3279.96,3279.96,-3.0,2,STOP
CAMS,2024-07-10,2024-07-23,791.92,839.43,768.16,768.16,-3.0,8,STOP
AXISBANK,2024-06-25,2024-07-24,1269.38,1345.55,1231.3,1231.3,-3.0,20,STOP
DABUR,2024-07-23,2024-07-24,639.13,677.47,619.95,619.95,-3.0,1,STOP
TORNTPHARM,2024-07-23,2024-07-24,3087.32,3272.56,2994.71,2994.71,-3.0,1,STOP
FEDERALBNK,2024-07-11,2024-07-25,190.37,201.79,184.66,201.79,6.0,9,TARGET
KALYANKJIL,2024-07-24,2024-07-25,584.23,619.28,566.7,566.7,-3.0,1,STOP
OFSS,2024-07-24,2024-07-25,10599.03,11234.97,10281.06,10281.06,-3.0,1,STOP
GRANULES,2024-07-24,2024-07-29,534.89,566.98,518.84,566.98,6.0,3,TARGET
ICICIPRULI,2024-07-24,2024-07-31,693.33,734.93,672.53,734.93,6.0,5,TARGET
NAUKRI,2024-07-26,2024-08-01,1423.63,1509.05,1380.92,1380.92,-3.0,4,STOP
PIIND,2024-07-29,2024-08-02,4361.65,4623.35,4230.8,4230.8,-3.0,4,STOP
ETERNAL,2024-08-01,2024-08-02,234.09,248.14,227.07,248.14,6.0,1,TARGET
MGL,2024-07-26,2024-08-05,1768.7,1874.83,1715.64,1715.64,-3.0,6,STOP
NAUKRI,2024-08-02,2024-08-05,1432.58,1518.53,1389.6,1389.6,-3.0,1,STOP
ETERNAL,2024-08-02,2024-08-05,262.34,278.08,254.47,254.47,-3.0,1,STOP
LUPIN,2024-07-31,2024-08-07,1900.03,2014.03,1843.03,2014.03,6.0,5,TARGET
HFCL,2024-08-07,2024-08-09,137.53,145.78,133.41,133.41,-3.0,2,STOP
TRENT,2024-08-08,2024-08-09,5639.21,5977.57,5470.04,5977.57,6.0,1,TARGET
CDSL,2024-08-08,2024-08-12,1216.68,1289.68,1180.18,1289.68,6.0,2,TARGET
OIL,2024-08-09,2024-08-13,609.82,646.41,591.53,646.41,6.0,2,TARGET
JUBLFOOD,2024-08-12,2024-08-19,650.22,689.23,630.71,630.71,-3.0,4,STOP
ICICIGI,2024-07-25,2024-08-20,1941.31,2057.79,1883.07,2057.79,6.0,17,TARGET
PIIND,2024-08-07,2024-08-20,4386.8,4650.01,4255.19,4255.19,-3.0,8,STOP
TVSMOTOR,2024-08-13,2024-08-23,2615.77,2772.72,2537.3,2772.72,6.0,7,TARGET
CDSL,2024-08-23,2024-08-27,1555.81,1649.16,1509.14,1509.14,-3.0,2,STOP
VOLTAS,2024-08-20,2024-08-28,1649.94,1748.94,1600.44,1748.94,6.0,6,TARGET
NAUKRI,2024-08-09,2024-08-29,1431.39,1517.27,1388.45,1517.27,6.0,13,TARGET
